"species_code","common_name","scientific_name"
"lotjae","Long-tailed Jaeger","Stercorarius longicaudus"
"lotkoe1","Long-tailed Koel","Urodynamis taitensis"
"lotman1","Long-tailed Manakin","Chiroxiphia linearis"
"lotmea1","Long-tailed Meadowlark","Leistes loyca"
"lotmoc1","Long-tailed Mockingbird","Mimus longicaudatus"
"lotpar2","Long-tailed Parakeet","Psittacula longicauda"
"lotshr1","Long-tailed Shrike","Lanius schach"
"lotsti","Long-toed Stint","Calidris subminuta"
"lottit5","Silver-throated Tit","Aegithalos glaucogularis"
"lottyr1","Long-tailed Tyrant","Colonia colonus"
"louwat","Louisiana Waterthrush","Parkesia motacilla"
"lovcot1","Lovely Cotinga","Cotinga amabilis"
"loweye2","Lowland White-eye","Zosterops meyeni"
"lowhar1","Long-winged Harrier","Circus buffoni"
"lsspet","Least Storm-Petrel","Hydrobates microsoma"
"lstswi1","Lesser Swallow-tailed Swift","Panyptila cayennensis"
"ltrfin1","Long-tailed Reed Finch","Donacospiza albifrons"
"ltsfly1","Long-tailed Silky-flycatcher","Ptiliogonys caudatus"
"ltwpar1","Long-tailed Wood-Partridge","Dendrortyx macroura"
"luchum","Lucifer Hummingbird","Calothorax lucifer"
"lucwar","Lucy's Warbler","Leiothlypis luciae"
"lyhvul1","Lesser Yellow-headed Vulture","Cathartes burrovianus"
"mabpar","Maroon-bellied Parakeet","Pyrrhura frontalis"
"macwar","MacGillivray's Warbler","Geothlypis tolmiei"
"madpet1","Magellanic Diving-Petrel","Pelecanoides magellani"
"mafpar1","Maroon-fronted Parrot","Rhynchopsitta terrisi"
"magcor1","Magellanic Cormorant","Leucocarbo magellanicus"
"magfri","Magnificent Frigatebird","Fregata magnificens"
"maggoo1","Magpie Goose","Anseranas semipalmata"
"maghum1","Rivoli's Hummingbird","Eugenes fulgens"
"maghum2","Talamanca Hummingbird","Eugenes spectabilis"
"maglar1","Magpie-lark","Grallina cyanoleuca"
"magoys1","Magellanic Oystercatcher","Haematopus leucopodus"
"magpen1","Magellanic Penguin","Spheniscus magellanicus"
"magplo1","Magellanic Plover","Pluvianellus socialis"
"magrob","Oriental Magpie-Robin","Copsychus saularis"
"magsto1","Maguari Stork","Ciconia maguari"
"magtap1","Magellanic Tapaculo","Scytalopus magellanicus"
"magwar","Magnolia Warbler","Setophaga magnolia"
"magwoo1","Magellanic Woodpecker","Campephilus magellanicus"
"mallar1","Malabar Lark","Galerida malabarica"
"mallar3","Mallard","Anas platyrhynchos"
"malpar2","Malherbe's Parakeet","Cyanoramphus malherbi"
"mancuc","Mangrove Cuckoo","Coccyzus minor"
"manduc","Mandarin Duck","Aix galericulata"
"manhum1","Mangrove Hummingbird","Chrysuronia boucardi"
"manrai1","Mangrove Rail","Rallus longirostris"
"manshe","Manx Shearwater","Puffinus puffinus"
"manswa1","Mangrove Swallow","Tachycineta albilinea"
"manvir1","Mangrove Vireo","Vireo pallens"
"maphor1","Malabar Pied-Hornbill","Anthracoceros coronatus"
"mareag1","Martial Eagle","Polemaetus bellicosus"
"margod","Marbled Godwit","Limosa fedoa"
"marmur","Marbled Murrelet","Brachyramphus marmoratus"
"marori1","Martinique Oriole","Icterus bonana"
"marori2","Maroon Oriole","Oriolus traillii"
"marsan","Marsh Sandpiper","Tringa stagnatilis"
"marspa1","Marvelous Spatuletail","Loddigesia mirabilis"
"marsto1","Marabou Stork","Leptoptilos crumenifer"
"martit2","Marsh Tit","Poecile palustris"
"marwre","Marsh Wren","Cistothorus palustris"
"masduc","Masked Duck","Nomonyx dominicus"
"masflo1","Masked Flowerpiercer","Diglossa cyanea"
"maslap1","Masked Lapwing","Vanellus miles"
"maslau1","Masked Laughingthrush","Pterorhinus perspicillatus"
"maspet","Markham's Storm-Petrel","Hydrobates markhami"
"maspet3","Masatierra Petrel","Pterodroma defilippiana"
"mastit1","Masked Tityra","Tityra semifasciata"
"maswoo1","Masked Woodswallow","Artamus personatus"
"masyel2","Masked Yellowthroat","Geothlypis aequinoctialis"
"masyel4","Black-lored Yellowthroat","Geothlypis auricularis"
"masyel5","Southern Yellowthroat","Geothlypis velata"
"matwoo1","Magenta-throated Woodstar","Philodice bryantae"
"mawqua1","Marbled Wood-Quail","Odontophorus gujanensis"
"mcclon","Thick-billed Longspur","Rhynchophanes mccownii"
"mckbun","McKay's Bunting","Plectrophenax hyperboreus"
"mcrtyr1","Many-colored Rush Tyrant","Tachuris rubrigastra"
"meapar","Mealy Amazon","Amazona farinosa"
"meapip1","Meadow Pipit","Anthus pratensis"
"medgul1","Mediterranean Gull","Ichthyaetus melanocephalus"
"melbla1","Melodious Blackbird","Dives dives"
"melthr","Chinese Hwamei","Garrulax canorus"
"merlin","Merlin","Falco columbarius"
"mewgul","Common Gull","Larus canus"
"mewgul2","Short-billed Gull","Larus brachyrhynchus"
"mexchi","Mexican Chickadee","Poecile sclateri"
"mexduc","Mexican Duck","Anas diazi"
"mexher1","Mexican Hermit","Phaethornis mexicanus"
"mexjay3","Transvolcanic Jay","Aphelocoma ultramarina"
"mexjay4","Mexican Jay","Aphelocoma wollweberi"
"mexpar1","Mexican Parrotlet","Forpus cyanopygius"
"mexshe1","Mexican Sheartail","Doricha eliza"
"mexwoo1","Mexican Woodnymph","Eupherusa ridgwayi"
"milmac","Military Macaw","Ara militaris"
"milsto1","Milky Stork","Mycteria cinerea"
"miskit","Mississippi Kite","Ictinia mississippiensis"
"misthr1","Mistle Thrush","Turdus viscivorus"
"mitpar","Mitred Parakeet","Psittacara mitratus"
"moctyr2","Mottle-cheeked Tyrannulet","Phylloscartes ventralis"
"monhar1","Montagu's Harrier","Circus pygargus"
"monori1","Montserrat Oriole","Icterus oberi"
"monoro1","Montezuma Oropendola","Psarocolius montezuma"
"monpar","Monk Parakeet","Myiopsitta monachus"
"monqua","Montezuma Quail","Cyrtonyx montezumae"
"morepo2","Morepork","Ninox novaeseelandiae"
"mosfin1","Mourning Sierra Finch","Rhopospina fruticeti"
"mosowl2","Mountain Scops-Owl","Otus spilocephalus"
"motduc","Mottled Duck","Anas fulvigula"
"motowl","Mottled Owl","Strix virgata"
"motpet","Mottled Petrel","Pterodroma inexpectata"
"motpic1","Mottled Piculet","Picumnus nebulosus"
"mouant","Moustached Antwren","Myrmotherula ignota"
"moublu","Mountain Bluebird","Sialia currucoides"
"moucar1","Mountain Caracara","Daptrius megalopterus"
"mouchi","Mountain Chickadee","Poecile gambeli"
"moudov","Mourning Dove","Zenaida macroura"
"mouela1","Mountain Elaenia","Elaenia frantzii"
"mouhae1","Mountain Hawk-Eagle","Nisaetus nipalensis"
"mouimp1","Malabar Imperial-Pigeon","Ducula cuprea"
"moupar2","Mountain Parakeet","Psilopsiagon aurifrons"
"mouplo","Mountain Plover","Anarhynchus montanus"
"mouqua","Mountain Quail","Oreortyx pictus"
"mourob1","Mountain Thrush","Turdus plebejus"
"moutro1","Mountain Trogon","Trogon mexicanus"
"moutur1","Moustached Turca","Pteroptochos megapodius"
"mouwar","Mourning Warbler","Geothlypis philadelphia"
"mugfly","Mugimaki Flycatcher","Ficedula mugimaki"
"multan1","Multicolored Tanager","Chlorochrysa nitidissima"
"musduc","Muscovy Duck","Cairina moschata"
"musduc1","Musk Duck","Biziura lobata"
"muslor1","Musk Lorikeet","Trichoglossus concinnus"
"mutswa","Mute Swan","Cygnus olor"
"nabtod1","Narrow-billed Tody","Todus angustirostris"
"narfly2","Narcissus Flycatcher","Ficedula narcissina"
"naswar","Nashville Warbler","Leiothlypis ruficapilla"
"navwre1","Nava's Wren","Hylorchilus navai"
"nehhon2","New Holland Honeyeater","Phylidonyris novaehollandiae"
"neocor","Neotropic Cormorant","Nannopterum brasilianum"
"nezbel1","New Zealand Bellbird","Anthornis melanura"
"nezfal1","New Zealand Falcon","Falco novaeseelandiae"
"nezfan1","New Zealand Fantail","Rhipidura fuliginosa"
"nezgre1","New Zealand Grebe","Poliocephalus rufopectus"
"nezkak1","New Zealand Kaka","Nestor meridionalis"
"nezpig2","New Zealand Pigeon","Hemiphaga novaeseelandiae"
"nezpig3","Chatham Islands Pigeon","Hemiphaga chathamensis"
"nezrob2","North Island Robin","Petroica longipes"
"nezrob3","South Island Robin","Petroica australis"
"nezsca1","New Zealand Scaup","Aythya novaeseelandiae"
"nezstp1","New Zealand Storm-Petrel","Fregetta maoriana"
"nibkiw1","North Island Brown Kiwi","Apteryx mantelli"
"nicgra1","Nicaraguan Grackle","Quiscalus nicaraguensis"
"nigwre1","Nightingale Wren","Microcerculus philomela"
"nilfly2","Nilgiri Flycatcher","Eumyias albicaudatus"
"nisfin1","Nicaraguan Seed-Finch","Sporophila nuttingi"
"nobtyr","Northern Beardless-Tyrannulet","Camptostoma imberbe"
"nobwoo1","Northern Barred-Woodcreeper","Dendrocolaptes sanctithomae"
"noghor1","Abyssinian Ground-Hornbill","Bucorvus abyssinicus"
"nohowl","Northern Hawk Owl","Surnia ulula"
"noifri1","Noisy Friarbird","Philemon corniculatus"
"noimin1","Noisy Miner","Manorina melanocephala"
"noipit1","Noisy Pitta","Pitta versicolor"
"nopowl","Northern Pygmy-Owl","Glaucidium gnoma"
"norben1","Northern Bentbill","Oncostoma cinereigulare"
"norbob","Northern Bobwhite","Colinus virginianus"
"norboo1","Northern Boobook","Ninox japonica"
"norcar","Northern Cardinal","Cardinalis cardinalis"
"noremt1","Northern Emerald-Toucanet","Aulacorhynchus prasinus"
"norfli","Northern Flicker","Colaptes auratus"
"norfli1","Guatemalan Flicker","Colaptes mexicanoides"
"norful","Northern Fulmar","Fulmarus glacialis"
"norgan","Northern Gannet","Morus bassanus"
"norgip1","Northern Giant-Petrel","Macronectes halli"
"norgos","American Goshawk","Astur atricapillus"
"norgre1","Nordmann's Greenshank","Tringa guttifer"
"norhar1","Hen Harrier","Circus cyaneus"
"norhar2","Northern Harrier","Circus hudsonius"
"norjac","Northern Jacana","Jacana spinosa"
"norlap","Northern Lapwing","Vanellus vanellus"
"normoc","Northern Mockingbird","Mimus polyglottos"
"norpar","Northern Parula","Setophaga americana"
"norpin","Northern Pintail","Anas acuta"
"norpot1","Northern Potoo","Nyctibius jamaicensis"
"norscr1","Northern Screamer","Chauna chavaria"
"norsho","Northern Shoveler","Spatula clypeata"
"norshr4","Northern Shrike","Lanius borealis"
"norwat","Northern Waterthrush","Parkesia noveboracensis"
"norwhe","Northern Wheatear","Oenanthe oenanthe"
"nosfly1","Northern Scrub-Flycatcher","Sublegatus arenarum"
"nrwswa","Northern Rough-winged Swallow","Stelgidopteryx serripennis"
"nstspa","Nelson's Sparrow","Ammospiza nelsoni"
"nswowl","Northern Saw-whet Owl","Aegolius acadicus"
"nutfly","Nutting's Flycatcher","Myiarchus nuttingi"
"nutman","Scaly-breasted Munia","Lonchura punctulata"
"nutwoo","Nuttall's Woodpecker","Dryobates nuttallii"
"oaktit","Oak Titmouse","Baeolophus inornatus"
"oashum1","Oasis Hummingbird","Rhodopis vesper"
"oaxspa1","Oaxaca Sparrow","Aimophila notosticta"
"obnthr1","Orange-billed Nightingale-Thrush","Catharus aurantiirostris"
"obqdov1","Olive-backed Quail-Dove","Leptotrygon veraguensis"
"ocbant1","Ochre-breasted Antpitta","Grallaricula flavirostris"
"ocbfly1","Ochre-bellied Flycatcher","Mionectes oleagineus"
"oceant1","Ocellated Antbird","Phaenostictus mcleannani"
"ocequa1","Ocellated Quail","Cyrtonyx ocellatus"
"ocethr1","Ocellated Thrasher","Toxostoma ocellatum"
"ocetur1","Ocellated Turkey","Meleagris ocellata"
"ocftap1","Ochre-flanked Tapaculo","Eugralla paradoxa"
"ochpew1","Ochraceous Pewee","Contopus ochraceus"
"ochwre1","Ochraceous Wren","Troglodytes ochraceus"
"oilbir1","Oilbird","Steatornis caripensis"
"okbkiw1","Okarito Brown Kiwi","Apteryx rowi"
"olbeup1","Olive-backed Euphonia","Euphonia gouldi"
"olbsun4","Ornate Sunbird","Cinnyris ornatus"
"olcwar1","Olive-capped Warbler","Setophaga pityophila"
"olcyel1","Olive-crowned Yellowthroat","Geothlypis semiflava"
"olifla2","Western Olivaceous Flatbill","Rhynchocyclus aequinoctialis"
"olipic1","Olivaceous Piculet","Picumnus olivaceus"
"olispa","Olive Sparrow","Arremonops rufivirgatus"
"olitan1","Carmiol's Tanager","Chlorothraupis carmioli"
"oliwar","Olive Warbler","Peucedramus taeniatus"
"oliwhi1","Olive Whistler","Pachycephala olivacea"
"oliwoo1","Olivaceous Woodcreeper","Sittasomus griseicapillus"
"olsfly","Olive-sided Flycatcher","Contopus cooperi"
"olsfly1","Olive-striped Flycatcher","Mionectes galbinus"
"olsfly2","Olive-streaked Flycatcher","Mionectes olivaceus"
"oltpar1","Olive-throated Parakeet","Eupsittula nana"
"olwbul1","Olive-winged Bulbul","Pycnonotus plumosus"
"oncbec1","One-colored Becard","Pachyramphus homochrous"
"ongtyr1","Ochre-naped Ground-Tyrant","Muscisaxicola flavinucha"
"orabis1","Northern Red Bishop","Euplectes franciscanus"
"orange1","Orangequit","Euneornis campestris"
"oraori1","Orange Oriole","Icterus auratus"
"orbbun1","Orange-breasted Bunting","Passerina leclancherii"
"orbflo1","Orange-bellied Flowerpecker","Dicaeum trigonostigma"
"orbspa1","Orange-billed Sparrow","Arremon aurantiirostris"
"orcman1","Orange-collared Manakin","Manacus aurantiacus"
"orcori","Orchard Oriole","Icterus spurius"
"orcori1","Orange-crowned Oriole","Icterus auricapillus"
"orcpar","Orange-chinned Parakeet","Brotogeris jugularis"
"orcwar","Orange-crowned Warbler","Leiothlypis celata"
"orcwax","Orange-cheeked Waxbill","Estrilda melpoda"
"orfpar","Orange-fronted Parakeet","Eupsittula canicularis"
"orheag1","Ornate Hawk-Eagle","Spizaetus ornatus"
"oricuc2","Oriental Cuckoo","Cuculus optatus"
"origoo1","Orinoco Goose","Oressochen jubatus"
"origre","Oriental Greenfinch","Chloris sinica"
"orihob2","Oriental Honey-buzzard","Pernis ptilorhynchus"
"orimag1","Oriental Magpie","Pica serica"
"oripra","Oriental Pratincole","Glareola maldivarum"
"orisky1","Oriental Skylark","Alauda gulgula"
"oristo1","Oriental Stork","Ciconia boyciana"
"oriwar1","Oriente Warbler","Teretistris fornsi"
"orntin1","Ornate Tinamou","Nothoprocta ornata"
"orrwar1","Oriental Reed Warbler","Acrocephalus orientalis"
"orsowl","Oriental Scops-Owl","Otus sunia"
"ortbun1","Ortolan Bunting","Emberiza hortulana"
"ortdov","Oriental Turtle-Dove","Streptopelia orientalis"
"orwpar","Orange-winged Amazon","Amazona amazonica"
"osprey","Osprey","Pandion haliaetus"
"ostric2","Common Ostrich","Struthio camelus"
"ovenbi1","Ovenbird","Seiurus aurocapilla"
"pabduc1","Pacific Black Duck","Anas superciliosa"
"pabher1","Pale-bellied Hermit","Phaethornis anthophilus"
"pabspi1","Pale-breasted Spinetail","Synallaxis albescens"
"pabwoo1","Pale-billed Woodpecker","Campephilus guatemalensis"
"pacant","Pacific Antwren","Myrmotherula pacifica"
"pacher1","Pacific Heron","Ardea pacifica"
"pacloo","Pacific Loon","Gavia pacifica"
"pacpar1","Pacific Parakeet","Psittacara strenuus"
"pacpar2","Pacific Parrotlet","Forpus coelestis"
"pacreh1","Pacific Reef-Heron","Egretta sacra"
"pacswa1","Pacific Swallow","Hirundo javanica"
"pacswa3","Hill Swallow","Hirundo domicola"
"pacwre1","Pacific Wren","Troglodytes pacificus"
"pafear1","Patagonian Forest Earthcreeper","Upucerthia saturatior"
"pagplo","Pacific Golden-Plover","Pluvialis fulva"
"paibun","Painted Bunting","Passerina ciris"
"paibut","Painted Buttonquail","Turnix varius"
"paired","Painted Redstart","Myioborus pictus"
"paisan1","Painted Sandgrouse","Pterocles indicus"
"paispu1","Painted Spurfowl","Galloperdix lunulata"
"palcoc1","Palm Cockatoo","Probosciger aterrimus"
"palcro1","Hispaniolan Palm-Crow","Corvus palmarum"
"palcuc1","Pallid Cuckoo","Heteroscenes pallidus"
"palhor3","Pale-legged Hornero","Furnarius leucopus"
"palmch1","Palmchat","Dulus dominicus"
"palswi3","Pallid Swift","Apus pallidus"
"paltan1","Palm Tanager","Thraupis palmarum"
"palthr1","Pale Thrush","Turdus pallidus"
"paltyr2","Guatemalan Tyrannulet","Zimmerius vilissimus"
"paltyr3","Mistletoe Tyrannulet","Zimmerius parvus"
"palwar","Palm Warbler","Setophaga palmarum"
"panfly1","Panama Flycatcher","Myiarchus panamensis"
"panvul1","Palm-nut Vulture","Gypohierax angolensis"
"parant2","Parker's Antbird","Cercomacroides parkeri"
"parauk","Parakeet Auklet","Aethia psittacula"
"parjae","Parasitic Jaeger","Stercorarius parasiticus"
"parpet1","Parkinson's Petrel","Procellaria parkinsoni"
"parshe1","Paradise Shelduck","Tadorna variegata"
"pasfin1","Patagonian Sierra Finch","Phrygilus patagonicus"
"pasowl4","Pacific Screech-Owl","Megascops cooperi"
"patmoc1","Patagonian Mockingbird","Mimus patagonicus"
"pattin1","Patagonian Tinamou","Tinamotis ingoufi"
"pattyr2","Patagonian Tyrant","Colorhamphus parvirostris"
"pavpig2","Pale-vented Pigeon","Patagioenas cayennensis"
"pavthr1","Pale-vented Thrush","Turdus obsoletus"
"payfin1","Patagonian Yellow-Finch","Sicalis lebruni"
"pbgdov1","Plain-breasted Ground Dove","Columbina minuta"
"pbqdov1","Purplish-backed Quail-Dove","Zentrygon lawrencii"
"pcttyr1","Pied-crested Tit-Tyrant","Anairetes reguloides"
"peakit1","Pearl Kite","Gampsonyx swainsonii"
"pebfin1","Peg-billed Finch","Acanthidops bairdi"
"pecsan","Pectoral Sandpiper","Calidris melanotos"
"pedpet1","Peruvian Diving-Petrel","Pelecanoides garnotii"
"peethr1","Pearly-eyed Thrasher","Margarops fuscatus"
"peflov","Rosy-faced Lovebird","Agapornis roseicollis"
"pelcor","Pelagic Cormorant","Urile pelagicus"
"pepowl1","Peruvian Pygmy-Owl","Glaucidium peruanum"
"peptyr1","Pale-eyed Pygmy-Tyrant","Atalotriccus pilaris"
"perboo1","Peruvian Booby","Sula variegata"
"perfal","Peregrine Falcon","Falco peregrinus"
"permea1","Peruvian Meadowlark","Leistes bellicosus"
"perpel1","Peruvian Pelican","Pelecanus thagus"
"perpla1","Peruvian Plantcutter","Phytotoma raimondii"
"pershe2","Peruvian Sheartail","Thaumastura cora"
"perter2","Peruvian Tern","Sternula lorata"
"perwaa1","Peruvian Warbling-Antbird","Hypocnemis peruviana"
"pesfin1","Peruvian Sierra Finch","Phrygilus punensis"
"petkne1","Peruvian Thick-knee","Hesperoburhinus superciliaris"
"phaino","Phainopepla","Phainopepla nitens"
"phcdov1","Philippine Cuckoo-Dove","Macropygia tenuirostris"
"phecou2","Pheasant Coucal","Centropus phasianinus"
"phecuc1","Pheasant Cuckoo","Dromococcyx phasianellus"
"phivir","Philadelphia Vireo","Vireo philadelphicus"
"phtjac1","Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"pibgre","Pied-billed Grebe","Podilymbus podiceps"
"picpig2","Picazuro Pigeon","Patagioenas picazuro"
"pieavo1","Pied Avocet","Recurvirostra avosetta"
"piecor1","Pied Cormorant","Phalacrocorax varius"
"piecur1","Pied Currawong","Strepera graculina"
"pieduc1","Pink-eared Duck","Malacorhynchus membranaceus"
"piehar1","Pied Harrier","Circus melanoleucos"
"piekin1","Pied Kingfisher","Ceryle rudis"
"pieoys1","Pied Oystercatcher","Haematopus longirostris"
"piepuf1","Pied Puffbird","Notharchus tectus"
"piesti1","Pied Stilt","Himantopus leucocephalus"
"pietri1","Pied Triller","Lalage nigra"
"pifgoo","Pink-footed Goose","Anser brachyrhynchus"
"pifshe","Pink-footed Shearwater","Ardenna creatopus"
"pigdov1","Picui Ground Dove","Columbina picui"
"piggui","Pigeon Guillemot","Cepphus columba"
"pihwar1","Pink-headed Warbler","Cardellina versicolor"
"piisha1","Pitt Island Shag","Phalacrocorax featherstoni"
"pilfly1","Pileated Flycatcher","Xenotriccus mexicanus"
"pilwoo","Pileated Woodpecker","Dryocopus pileatus"
"pinbit1","Pinnated Bittern","Botaurus pinnatus"
"pinfly1","Pine Flycatcher","Empidonax affinis"
"pingro","Pine Grosbeak","Pinicola enucleator"
"pinjay","Pinyon Jay","Gymnorhinus cyanocephalus"
"pinpig3","Pink-necked Green-Pigeon","Treron vernans"
"pinsis","Pine Siskin","Spinus pinus"
"pinwar","Pine Warbler","Setophaga pinus"
"pipipi1","Pipipi","Mohoua novaeseelandiae"
"pipplo","Piping Plover","Charadrius melodus"
"pirfly1","Piratic Flycatcher","Legatus leucophaius"
"pitsni","Pin-tailed Snipe","Gallinago stenura"
"pitwhy","Pin-tailed Whydah","Vidua macroura"
"piwtyr1","Pied Water-Tyrant","Fluvicola pica"
"plaant1","Plain Antvireo","Dysithamnus mentalis"
"placha","Plain Chachalaca","Ortalis vetula"
"placuc1","Plaintive Cuckoo","Cacomantis merulinus"
"plaflo2","Plain Flowerpecker","Dicaeum minullum"
"plapig","Plain Pigeon","Patagioenas inornata"
"plapri1","Plain Prinia","Prinia inornata"
"plaswi1","Plain Swift","Apus unicolor"
"plawre1","Cabanis's Wren","Cantorchilus modestus"
"plawre3","Canebrake Wren","Cantorchilus zeledoni"
"plbwoo1","Plain-brown Woodcreeper","Dendrocincla fuliginosa"
"plcsta","Plain-capped Starthroat","Heliomaster constantii"
"plctan1","Plain-colored Tanager","Tangara inornata"
"plhpar1","Plum-headed Parakeet","Psittacula cyanocephala"
"plsfin1","Plumbeous Sierra Finch","Geospizopsis unicolor"
"plsvir","Plumbeous Vireo","Vireo plumbeus"
"pltsun2","Brown-throated Sunbird","Anthreptes malacensis"
"pltswi1","Plume-toed Swiftlet","Collocalia affinis"
"pluhaw","Plumbeous Hawk","Cryptoleucopteryx plumbea"
"plukit1","Plumbeous Kite","Ictinia plumbea"
"plupig2","Plumbeous Pigeon","Patagioenas plumbea"
"plurai1","Plumbeous Rail","Pardirallus sanguinolentus"
"plured1","Plumbeous Redstart","Phoenicurus fuliginosus"
"pluwar1","Plumbeous Warbler","Setophaga plumbea"
"plwduc1","Plumed Whistling-Duck","Dendrocygna eytoni"
"pmtspi1","Plain-mantled Tit-Spinetail","Leptasthenura aegithaloides"
"pnbfin1","Pale-naped Brushfinch","Atlapetes pallidinucha"
"pomjae","Pomarine Jaeger","Stercorarius pomarinus"
"prafal","Prairie Falcon","Falco mexicanus"
"prawar","Prairie Warbler","Setophaga discolor"
"prbbar1","Prong-billed Barbet","Semnornis frantzii"
"pregrs1","White-faced Ground-Sparrow","Melozone biarcuata"
"pregrs2","Cabanis's Ground-Sparrow","Melozone cabanisi"
"prowar","Prothonotary Warbler","Protonotaria citrea"
"prsowl","Puerto Rican Owl","Gymnasio nudipes"
"ptmgem","Purple-throated Mountain-gem","Lampornis calolaemus"
"pubjay1","Purplish-backed Jay","Cyanocorax beecheii"
"pucfai1","Purple-crowned Fairy","Heliothryx barroti"
"pucwoo1","Purple-collared Woodstar","Myrtis fanny"
"pugtyr1","Puna Ground-Tyrant","Muscisaxicola juninensis"
"punibi1","Puna Ibis","Plegadis ridgwayi"
"punmin1","Puna Miner","Geositta punensis"
"punplo1","Puna Plover","Anarhynchus alticola"
"punsni1","Puna Snipe","Gallinago andina"
"puntea1","Puna Teal","Spatula puna"
"puntin1","Puna Tinamou","Tinamotis pentlandii"
"purbul1","Puerto Rican Bullfinch","Melopyrrha portoricensis"
"pureme1","Puerto Rican Emerald","Riccordia maugaeus"
"purfin","Purple Finch","Haemorhous purpureus"
"purfly1","Puerto Rican Flycatcher","Myiarchus antillarum"
"purgal2","Purple Gallinule","Porphyrio martinica"
"purher1","Purple Heron","Ardea purpurea"
"purhon1","Purple Honeycreeper","Cyanerpes caeruleus"
"purlic1","Puerto Rican Lizard-Cuckoo","Coccyzus vieilloti"
"purmar","Purple Martin","Progne subis"
"purnig1","Puerto Rican Nightjar","Antrostomus noctitherus"
"purpar1","Puerto Rican Amazon","Amazona vittata"
"pursan","Purple Sandpiper","Calidris maritima"
"purspi","Puerto Rican Spindalis","Spindalis portoricensis"
"pursun3","Purple-rumped Sunbird","Leptocoma zeylonica"
"purswa3","Gray-headed Swamphen","Porphyrio poliocephalus"
"purswa6","Australasian Swamphen","Porphyrio melanotus"
"purtan1","Puerto Rican Tanager","Nesospingus speculiferus"
"purtod1","Puerto Rican Tody","Todus mexicanus"
"purvir1","Puerto Rican Vireo","Vireo latimeri"
"purwoo1","Puerto Rican Woodpecker","Melanerpes portoricensis"
"putcar1","Purple-throated Carib","Eulampis jugularis"
"putfru1","Purple-throated Fruitcrow","Querula purpurata"
"puyfin1","Puna Yellow-Finch","Sicalis lutea"
"pygnut","Pygmy Nuthatch","Sitta pygmaea"
"pygwoo1","Japanese Pygmy Woodpecker","Yungipicus kizuki"
"pyrrhu","Pyrrhuloxia","Cardinalis sinuatus"
"ragmac1","Red-and-green Macaw","Ara chloropterus"
"railor5","Rainbow Lorikeet","Trichoglossus moluccanus"
"rawwre1","Rufous-and-white Wren","Thryophilus rufalbus"
"rayfin1","Raimondi's Yellow-Finch","Sicalis raimondii"
"razorb","Razorbill","Alca torda"
"rbsfin1","Red-backed Sierra Finch","Idiopsar dorsalis"
"rcatan1","Red-crowned Ant-Tanager","Habia rubica"
"rcbfin1","Rufous-capped Brushfinch","Atlapetes pileatus"
"rcfdov1","Rose-crowned Fruit-Dove","Ptilinopus regina"
"rcgspa1","Rusty-crowned Ground-Sparrow","Melozone kieneri"
"rcnthr1","Ruddy-capped Nightingale-Thrush","Catharus frantzii"
"rcqdov1","Russet-crowned Quail-Dove","Zentrygon goldmani"
"rebbla1","Red-breasted Meadowlark","Leistes militaris"
"rebcha1","Red-breasted Chat","Granatellus venustus"
"rebdot1","Red-breasted Dotterel","Anarhynchus obscurus"
"rebfai1","Red-backed Fairywren","Malurus melanocephalus"
"rebfir1","Red-browed Firetail","Neochmia temporalis"
"rebgra1","Red-bellied Grackle","Hypopyrrhus pyrohypogaster"
"rebhaw2","Variable Hawk","Geranoaetus polyosoma"
"reblei","Red-billed Leiothrix","Leiothrix lutea"
"rebmac2","Red-bellied Macaw","Orthopsittaca manilatus"
"rebmer","Red-breasted Merganser","Mergus serrator"
"rebnut","Red-breasted Nuthatch","Sitta canadensis"
"rebpig1","Red-billed Pigeon","Patagioenas flavirostris"
"rebsap","Red-breasted Sapsucker","Sphyrapicus ruber"
"rebscy1","Red-billed Scythebill","Campylorhamphus trochilirostris"
"rebshr1","Red-backed Shrike","Lanius collurio"
"rebwoo","Red-bellied Woodpecker","Melanerpes carolinus"
"reccar","Red-crested Cardinal","Paroaria coronata"
"reccar3","Masked Cardinal","Paroaria nigrogenis"
"reccuc1","Red-chested Cuckoo","Cuculus solitarius"
"recdov1","Red Collared-Dove","Streptopelia tranquebarica"
"recfin1","Red-crested Finch","Coryphospingus cucullatus"
"recman1","Red-capped Manakin","Ceratopipra mentalis"
"recpar","Red-crowned Amazon","Amazona viridigenalis"
"recplo1","Red-capped Plover","Anarhynchus ruficapillus"
"recwoo","Red-cockaded Woodpecker","Dryobates borealis"
"recwoo1","Red-crowned Woodpecker","Melanerpes rubricapillus"
"redava","Red Avadavat","Amandava amandava"
"redcro","Red Crossbill","Loxia curvirostra"
"redcro9","Cassia Crossbill","Loxia sinesciuris"
"redegr","Reddish Egret","Egretta rufescens"
"redhea","Redhead","Aythya americana"
"redjun","Red Junglefowl","Gallus gallus"
"redkit1","Red Kite","Milvus milvus"
"redkno","Red Knot","Calidris canutus"
"redpha1","Red Phalarope","Phalaropus fulicarius"
"redpol1","Redpoll","Acanthis flammea"
"redsho1","Red Shoveler","Spatula platalea"
"redwar1","Red Warbler","Cardellina rubra"
"redwat1","Red Wattlebird","Anthochaera carunculata"
